Unnamed: 0,category,string
0,business,quarterly profits media giant timewarner jumped 76 113bn 600m months december 639m yearearlier firm biggest investors google benefited sales highspeed internet connections higher advert sales timewarner fourth quarter sales rose 2 111bn 109bn profits buoyed oneoff gains offset profit dip warner bros less users aol warner friday owns 8 searchengine google own internet business aol mixed fortunes lost 464000 subscribers fourth quarter profits lower preceding quarters however company aols underlying profit exceptional items rose 8 stronger internet advertising revenues hopes increase subscribers offering online service free timewarner internet customers try sign aols existing customers highspeed broadband timewarner restate 2000 results following probe securities exchange commission sec close concluding warners fourth quarter profits slightly better analysts expectations film division saw profits slump 27 284m helped boxoffice flops alexander catwoman sharp contrast yearearlier final film lord rings trilogy boosted results fullyear timewarner posted profit 336bn 27 performance revenues grew 64 4209bn financial performance strong meeting exceeding fullyear objectives greatly enhancing flexibility chairman chief executive richard parsons timewarner projecting operating earnings growth 5 expects higher revenue wider profit margins timewarner restate accounts part efforts resolve inquiry aol market regulators offered pay 300m settle charges deal review sec company unable estimate amount needed set aside legal reserves previously set 500m intends adjust accounts deal german music publisher bertelsmanns purchase stake aol europe reported advertising revenue book sale stake aol europe loss value stake
1,business,dollar hit highest level euro almost months federal reserve head trade deficit set stabilise alan greenspan highlighted governments willingness curb spending rising household savings factors help reduce late trading york dollar reached 12871 euro 12974 thursday market concerns deficit hit greenback recent months friday federal reserve chairman greenspans speech london ahead meeting g7 finance ministers sent dollar higher earlier tumbled worsethanexpected jobs data think chairmans taking sanguine view current account deficit hes taken robert sinche head currency strategy bank america york hes taking longerterm view laying set conditions current account deficit improve worries deficit concerns china however remain chinas currency remains pegged dollar currencys sharp falls recent months therefore chinese export prices highly competitive calls shift beijings policy fallen deaf ears recent comments major chinese newspaper ripe loosening peg g7 meeting thought unlikely produce meaningful movement chinese policy meantime federal reserves decision 2 february boost interest rates quarter point sixth months opened differential european rates halfpoint window believe enough keep assets looking attractive help prop dollar recent falls partly result budget deficits uss yawning current account gap both need funded buying bonds assets foreign firms governments white house announce budget monday commentators believe deficit remain close half trillion dollars
2,business,owners embattled russian oil giant yukos ask buyer former production unit pay 900m 479m loan stateowned rosneft bought yugansk unit 93bn sale forced russia part settle 275bn tax claim yukos yukos owner menatep group says ask rosneft repay loan yugansk secured assets rosneft faces similar 540m repayment demand foreign banks legal experts rosnefts purchase yugansk include obligations pledged assets rosneft pay real money creditors avoid seizure yugansk assets moscowbased lawyer jamie firestone connected case menatep groups managing director tim osborne reuters news agency default fight rule law exists international arbitration clauses credit rosneft officials unavailable comment company intends action menatep recover tax claims debts owed yugansk yukos filed bankruptcy protection court attempt prevent forced sale main production arm sale went ahead december yugansk sold littleknown shell company turn bought rosneft yukos claims downfall punishment political ambitions founder mikhail khodorkovsky vowed sue participant sale
4,business,shares uk drinks food firm allied domecq risen speculation target takeover frances pernod ricard reports wall street journal financial times suggested french spirits firm considering bid yet contact target allied domecq shares london rose 4 1200 gmt pernod shares paris slipped 12 pernod seeking acquisitions refused comment specifics pernods major purchase giant seagram 2000 propelled global top drinks firms twothirds seagram bought market leader diageo terms market value pernod 75bn euros 97bn 9 smaller allied domecq capitalisation 57bn 107bn 82bn euros pernod tried buy glenmorangie scotlands premier whisky firms lost luxury goods firm lvmh pernod home brands chivas regal scotch whisky havana club rum jacobs creek wine allied domecqs names include malibu rum courvoisier brandy stolichnaya vodka ballantines whisky snack food chains dunkin donuts baskinrobbins ice cream wsj ripe consolidation having each dealt problematic parts portfolio pernod reduced debt fund seagram purchase 18bn euros allied improved performance fastfood chains
5,business,japans economy teetered brink technical recession months september figures revised figures indicated growth 01 similarsized contraction previous quarter annual basis data suggests annual growth 02 suggesting hesitant recovery previously thought common technical definition recession successive quarters negative growth government keen play worrying implications data maintain view japans economy remains minor adjustment phase upward climb monitor developments carefully economy minister heizo takenaka face strengthening yen making exports less competitive indications weakening economic conditions ahead observers less sanguine painting picture recovery patchier previously thought paul sheard economist lehman brothers tokyo improvements job market apparently yet feed through domestic demand private consumption 02 quarter
6,business,created fewer jobs expected january fall jobseekers pushed unemployment rate lowest level years according labor department figures firms 146000 jobs january gain nonfarm payrolls below market expectations 190000 jobs nevertheless enough push unemployment rate 52 lowest level september 2001 job gains mean president bush celebrate albeit fine margin net growth jobs economy term office presided net fall jobs novembers presidential election president herbert hoover result job creation became key issue years election however adding december januarys figures administrations term jobs record ended positive territory labor department revised jobs gains december 2004 157000 133000 analysts growth jobs strong expected given favourable economic conditions suggests employment continuing expand moderate pace rick egelton deputy chief economist bmo financial group getting boost employment given low value dollar relatively low interest rate environment economy producing moderate satisfying amount job growth ken mayland president clearview economics means limited number opportunities workers
7,business,india attends g7 meeting seven leading industrialised nations friday unlikely cowed newcomer status london thursday ahead meeting indias finance minister lashed restrictive trade policies g7 nations objected subsidies agriculture hard developing nations india compete called reform united nations world bank imf palaniappan chidambaram indias finance minister argued these organisations need account changing world order given india chinas integration global economy issue globalisation terms engagement globalisation chidambaram attending g7 meeting part g20 group nations account thirds worlds population conference developing enterprise hosted uk finance minister gordon brown friday favour floating exchange rates help countries cope economic shocks flexible exchange rate channel absorbing both positive negative shocks conference india along china brazil south africa russia invited part g7 meeting taking place london friday saturday china expected face renewed pressure abandon fixed exchange rate g7 nations particular blamed surge cheap chinese exports countries tried fixed exchange rates wish judgements chidambaram separately imf warned thursday indias budget deficit large hamper countrys economic growth forecast 65 march march 2004 indian economy grew 85
8,business,ethiopia produced 1427 tonnes crops 2004 24 higher 21 average past years report says crop production totalled 1149 tonnes joint report food agriculture organisation world food programme rains increased fertilizers improved seeds contributed rise production nevertheless 22 ethiopians need emergency assistance report calculated emergency food requirements 387500 tonnes top 89000 tonnes fortified blended food vegetable oil targeted supplementary food distributions survival programme children pregnant lactating women needed eastern southern ethiopia prolonged drought killed crops drained wells total 965000 tonnes food assistance needed help seven ethiopians food agriculture organisation fao recommend food assistance bought locally local purchase cereals food assistance programmes recommended far possible assist domestic markets farmers henri josserand chief faos global information early warning system agriculture main economic activity ethiopia representing 45 gross domestic product 80 ethiopians depend directly indirectly agriculture
9,business,government claim accusing countrys biggest tobacco companies covering effects smoking thrown appeal court demand 280bn 155bn filed clinton administration 1999 rejected 21 decision court washington found case brought federal antiracketeering laws among accused altria group rj reynolds tobacco lorillard tobacco liggett group brown williamson case government claimed tobacco firms manipulated nicotine levels increase addiction targeted teenagers multibillion dollar advertising campaigns lied dangers smoking ignored research contrary prosecutors wanted cigarette firms surrender 280bn profits accumulated past 50 years impose tougher rules marketing products court appeals district columbia ruled government sue firms legislation drawn counteract mafia infiltration business tobacco companies deny illegally conspired promote smoking defraud public met governments demands landmark 206bn settlement reached 46 states 1998 shares tobacco companies closed higher ruling altria rising 5 reynolds showing gains 45
10,business,ask jeeves become leading online search firm thank revival internet advertising improving fortunes firms revenue nearly tripled fourth quarter 2004 exceeding 86m 46m ask jeeves once among bestknown names web relatively modest player 17m profit quarter dwarfed 204m announced rival google earlier quarter yahoo earned 187m again tipping resurgence online advertising trend taken hold relatively quickly late marketing company doubleclick leading providers online advertising warned business sale thursday announced sharp turnaround brought unexpected increase profits neither ask jeeves nor doubleclick thrilled investors profit news however both cases shares fell 4 analysts attributed falls excessive expectations quarters fuelled dramatic outperformance google tuesday
